x_value,channel_1,channel_2,channel_3
1002,475,554,558
1003,488,528,548
1004,476,550,542
1005,517,530,552
1006,490,532,559
1007,497,549,539
1008,507,566,570
1009,517,534,576
1010,477,552,555
1011,482,516,527
1012,482,507,550
1013,485,495,527
1014,508,565,566
1015,514,550,551
1016,474,560,567
1017,506,557,579
1018,481,503,574
1019,520,520,537
1020,509,559,543
1021,541,583,545
1022,511,582,547
1023,504,582,548
1024,483,543,579
1025,486,524,563
1026,518,513,544
1027,488,503,558
1028,514,511,560
1029,530,546,522
1030,533,563,556
1031,546,541,577
1032,520,549,548
1033,497,557,557
1034,515,524,558
1035,525,522,554
1036,520,519,536
1037,536,558,538
1038,556,556,537
1039,574,593,565
1040,573,609,550
1041,528,585,553
1042,511,586,562
1043,532,562,583
1044,526,535,585
1045,527,543,584
1046,525,545,526
1047,537,569,563
1048,566,581,551
1049,537,592,567
1050,543,610,554
1051,514,540,582
1052,520,519,563
1053,538,549,546
1054,509,564,555
1055,528,556,539
1056,567,580,538
1057,569,593,566
1058,561,593,574
1059,557,578,550
1060,518,535,580
1061,521,517,553
1062,523,526,545
1063,509,559,544
1064,517,535,553
1065,550,540,572
1066,581,555,558
1067,545,550,544
1068,500,558,560
1069,531,552,563
1070,545,514,535
1071,547,522,526
1072,533,556,529
1073,554,551,532
1074,567,579,537
1075,563,591,561
1076,540,602,587
1077,531,573,608
1078,524,535,600
1079,560,542,594
1080,557,551,548
1081,529,552,529
1082,557,556,543
1083,581,553,542
1084,567,594,569
1085,548,557,562
1086,539,570,597
1087,557,543,605
1088,574,580,559
1089,544,533,549
1090,538,568,564
1091,577,545,535
1092,568,585,548
1093,521,565,568
1094,539,583,565
1095,549,537,590
1096,549,520,551
1097,531,548,529
1098,539,575,567
1099,582,559,560
1100,577,546,534
1101,563,583,547
1102,513,546,531
1103,527,548,543
1104,558,541,588
1105,549,527,563
1106,555,545,523
1107,541,577,518
1108,548,546,520
1109,542,588,548
1110,524,573,584
1111,517,548,550
1112,514,516,545
1113,510,541,584
1114,530,548,543
1115,558,556,534
1116,569,581,533
1117,583,562,557
1118,564,586,556
1119,535,598,582
1120,517,548,553
1121,524,531,577
1122,521,516,543
1123,559,549,528
1124,545,531,535
1125,580,542,567
1126,596,580,550
1127,547,561,561
1128,532,579,548
1129,510,573,597
1130,557,546,562
1131,552,531,562
1132,553,542,567
1133,577,538,562
1134,594,573,588
1135,583,568,584
1136,547,561,572
1137,547,547,547
1138,516,520,549
1139,520,508,572
1140,563,551,548
1141,528,552,525
1142,553,550,525
1143,570,583,542
1144,582,572,579
1145,528,578,550
1146,505,571,589
1147,539,569,604
1148,575,582,572
1149,576,543,577
1150,543,583,545
1151,554,560,553
1152,567,585,554
1153,546,561,562
1154,529,572,587
1155,529,559,584
1156,534,551,570
1157,562,555,556
1158,544,529,540
1159,576,532,543
1160,613,554,545
1161,559,571,579
1162,532,586,563
1163,525,564,576
1164,510,565,595
1165,554,535,591
1166,557,546,540
1167,563,567,555
1168,572,592,562
1169,598,596,579
1170,558,585,561
1171,537,598,584
1172,514,540,591
1173,546,518,565
1174,557,531,568
1175,565,565,565
1176,572,591,557
1177,586,570,576
1178,566,586,562
1179,560,588,562
1180,530,582,553
1181,517,537,583
1182,533,543,605
1183,577,527,568
1184,569,572,575
1185,599,593,564
1186,608,559,562
1187,590,578,544
1188,523,570,575
1189,546,547,547
1190,516,519,553
1191,528,525,556
1192,537,558,554
1193,536,570,562
1194,577,547,531
1195,588,561,555
1196,562,583,552
1197,521,566,572
1198,541,586,571
1199,564,567,599
1200,576,525,566
1201,1023,700,612
1202,1022,747,603
1203,1023,765,646
1204,1022,771,622
1205,1023,788,643
1206,1023,788,652
1207,1023,772,639
1208,1023,753,653
1209,1023,755,647
1210,1023,766,651
1211,1023,770,608
1212,1023,772,609
1213,1023,780,622
1214,1022,791,652
1215,1023,784,649
1216,1023,766,684
1217,1022,748,653
1218,1022,755,644
1219,1023,766,647
1220,1022,768,606
1221,1022,768,600
1222,1023,784,628
1223,1022,790,651
1224,1022,776,638
1225,1022,756,662
1226,1023,751,649
1227,1022,760,643
1228,1023,768,596
1229,1023,771,602
1230,1022,772,606
1231,1023,789,641
1232,1023,790,656
1233,1023,774,644
1234,1023,754,658
1235,1022,752,642
1236,1023,765,648
1237,1022,767,655
1238,1023,772,625
1239,1023,779,628
1240,1023,793,655
1241,1023,785,652
1242,1023,767,687
1243,1023,752,663
1244,1022,756,648
1245,1022,763,643
1246,1023,770,610
1247,1022,767,655
1248,1023,783,646
1249,1023,792,658
1250,1023,778,646
1251,1022,756,664
1252,1023,750,646
1253,1023,762,646
1254,1023,768,597
1255,1023,769,597
1256,1023,773,608
1257,1022,785,632
1258,1023,788,647
1259,1023,772,637
1260,1023,752,651
1261,1023,754,643
1262,1023,765,648
1263,1023,769,603
1264,1023,769,599
1265,1022,771,603
1266,1022,784,624
1267,1023,783,639
1268,1023,767,682
1269,1023,753,664
1270,1022,757,652
1271,1022,763,646
1272,1022,766,659
1273,1023,769,619
1274,1022,780,625
1275,1023,793,653
1276,1022,780,645
1277,1023,763,678
1278,1023,754,662
1279,1023,764,659
1280,1023,768,603
1281,1023,769,598
1282,1023,774,610
1283,1023,789,640
1284,1023,791,658
1285,1023,777,647
1286,1023,756,663
1287,1022,753,649
1288,1023,764,650
1289,1023,768,602
1290,1023,768,597
1291,1023,776,611
1292,1023,793,647
1293,1023,789,656
1294,1022,769,638
1295,1023,752,649
1296,1023,759,653
1297,1022,763,646
1298,1022,764,653
1299,1022,764,662
1300,1022,780,639
1301,1023,794,661
1302,1022,780,645
1303,1022,761,672
1304,1023,752,657
1305,1022,758,650
1306,1023,766,651
1307,1022,765,660
1308,1023,771,625
1309,1022,784,633
1310,1022,789,648
1311,1023,779,649
1312,1023,759,672
1313,1023,757,662
1314,1023,765,658
1315,1022,764,651
1316,1023,768,613
1317,1023,775,618
1318,1022,790,645
1319,1023,789,656
1320,1022,769,635
1321,1023,754,654
1322,1023,760,653
1323,1022,764,648
1324,1023,769,609
1325,1023,768,600
1326,1022,779,619
1327,1023,793,650
1328,1023,784,650
1329,1022,763,679
1330,1023,754,663
1331,1022,760,652
1332,1023,768,602
1333,1022,764,642
1334,1023,772,620
1335,1023,783,632
1336,1022,788,644
1337,1023,779,643
1338,1023,759,659
1339,1023,763,667
1340,1023,769,623
1341,1023,769,604
1342,1023,757,629
1343,1022,773,617
1344,1023,796,658
1345,1022,787,660
1346,1023,768,638
1347,1023,749,645
1348,1022,753,638
1349,1022,761,629
1350,1023,764,652
1351,1023,763,661
1352,1022,762,661
1353,1022,768,616
1354,1022,767,657
1355,1023,768,620
1356,1023,759,652
1357,1023,758,654
1358,1023,755,643
1359,1022,750,632
1360,1023,751,633
1361,1023,759,649
1362,1022,767,665
1363,1023,772,629
1364,1023,768,613
1365,1023,765,680
1366,1023,768,611
1367,1023,770,594
1368,1022,770,600
1369,1023,779,620
1370,1023,795,658
1371,1023,789,662
1372,1023,769,640
1373,1023,752,650
1374,1023,760,649
1375,1023,769,600
1376,1023,772,599
1377,1022,771,606
1378,1023,785,631
1379,1022,793,657
1380,1023,782,651
1381,1023,762,678
1382,1023,752,656
1383,1023,762,652
1384,1022,767,654
1385,1023,773,624
1386,1023,775,622
1387,1022,785,637
1388,1022,791,658
1389,1023,778,653
1390,1023,756,671
1391,1023,754,655
1392,1023,771,612
1393,1022,768,581
1394,1023,772,601
1395,1022,778,617
1396,1023,801,613
1397,1023,793,656
1398,1023,769,641
1399,1023,744,638
1400,1022,751,631
1401,1023,766,636
1402,1023,771,607
1403,1022,768,599
1404,1023,788,635
1405,1023,805,628
1406,1023,786,653
1407,1023,758,681
1408,1023,742,642
1409,1022,755,633
